return_code,line_item_code,reporting_period_end,variant_seq,label_as_filed,accounting_basis,is_primary_basis,note
P3,1160,2017 Q4 - 2017,1,"P3, comprehensive income, other comprehensive income (loss), securities classified as fair value through other comprehensive income, change in unrealized gains and losses, debt, year to date",,true,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=True based on most-recently-observed wording; confirm before trusting.
P3,1161,2017 Q4 - 2017,0,"Consolidated statement of income - retained earnings and AOCI: section 4 - comprehensive income, schedule 1, other comprehensive income (loss), available for sale securities, change in unrealized gains and losses, loans, year to date",,false,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=False based on most-recently-observed wording; confirm before trusting.
P3,1161,2017 Q4 - 2017,1,"P3, comprehensive income, other comprehensive income (loss), securities classified as fair value through other comprehensive income, change in unrealized gains and losses, loans, year to date",,true,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=True based on most-recently-observed wording; confirm before trusting.
P3,1162,2008 Q4 - 2008,0,"Consolidated statement of income - retained earnings and AOCI: section 4 - comprehensive income, schedule 1, other comprehensive income (loss), available for sale securities, reclassification of earnings of gains (losses), year to date",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,1162,2008 Q4 - 2008,1,"Consolidated statement of income - retained earnings and AOCI: section 4 - comprehensive income, schedule 1, other comprehensive income (loss), available for sale securities, reclassification of earnings of gains (losses), year to date",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,1162,2017 Q4 - 2017,0,"Consolidated statement of income - retained earnings and AOCI: section 4 - comprehensive income, schedule 1, other comprehensive income (loss), available for sale securities, reclassification of earnings of gains (losses), year to date",,false,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=False based on most-recently-observed wording; confirm before trusting.
P3,1162,2017 Q4 - 2017,1,"P3, comprehensive income, other comprehensive income (loss), securities classified as fair value through other comprehensive income, reclassification of earnings of gains (losses), loans, year to date",,true,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=True based on most-recently-observed wording; confirm before trusting.
P3,1169,2017 Q4 - 2017,0,"Consolidated statement of income - retained earnings and AOCI: section 4 - comprehensive income, schedule 2, accumulated gains/losses on, available for sale securities, equities, year to date",,false,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=False based on most-recently-observed wording; confirm before trusting.
P3,1169,2017 Q4 - 2017,1,"P3, comprehensive income, accumulated gains (losses) on, securities classified as fair value through other comprehensive income, equities (IAS 39), year to date",,true,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=True based on most-recently-observed wording; confirm before trusting.
P3,1170,2017 Q4 - 2017,0,"Consolidated statement of income - retained earnings and AOCI: section 4 - comprehensive income, schedule 2, accumulated gains/losses on, available for sale securities, debt, year to date",,false,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=False based on most-recently-observed wording; confirm before trusting.
P3,1170,2017 Q4 - 2017,1,"P3, comprehensive income, accumulated gains (losses) on, securities classified as fair value through other comprehensive income, debt, year to date",,true,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=True based on most-recently-observed wording; confirm before trusting.
P3,1171,2017 Q4 - 2017,0,"Consolidated statement of income - retained earnings and AOCI: section 4 - comprehensive income, schedule 2, accumulated gains/losses on, available for sale securities, loans, year to date",,false,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=False based on most-recently-observed wording; confirm before trusting.
P3,1171,2017 Q4 - 2017,1,"P3, comprehensive income, accumulated gains (losses) on, securities classified as fair value through other comprehensive income, loans, year to date",,true,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=True based on most-recently-observed wording; confirm before trusting.
P3,1262,2007 Q1 - 2007,0,"Consolidated statement of income - retained earnings and AOCI: section 2, non interest expense, other, advertising/public relations/business development, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,1262,2007 Q1 - 2007,1,"Consolidated statement of income - retained earnings and AOCI: section 2, non interest expense, other, advertising/public relations/business development, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,1263,2007 Q1 - 2007,0,"Consolidated statement of income - retained earnings and AOCI: section 2, non interest expense, other, office and general expenses, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,1263,2007 Q1 - 2007,1,"Consolidated statement of income - retained earnings and AOCI: section 2, non interest expense, other, office and general expenses, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,1284,2007 Q1 - 2007,0,"Consolidated statement of income - retained earnings and AOCI: section 2, non interest expense, total non-interest expenses, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,1284,2007 Q1 - 2007,1,"Consolidated statement of income - retained earnings and AOCI: section 2, non interest expense, total non-interest expenses, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,1285,2007 Q1 - 2007,0,"Consolidated statement of income - retained earnings and AOCI: section 2, net income before provision for income taxes, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,1285,2007 Q1 - 2007,1,"Consolidated statement of income - retained earnings and AOCI: section 2, net income before provision for income taxes, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,1286,2007 Q1 - 2007,0,"Consolidated statement of income - retained earnings and AOCI: section 2, provision for income taxes, current, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,1286,2007 Q1 - 2007,1,"Consolidated statement of income - retained earnings and AOCI: section 2, provision for income taxes, current, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,1287,2007 Q1 - 2007,0,"Consolidated statement of income - retained earnings and AOCI: section 2, provision for income taxes, deferred, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,1287,2007 Q1 - 2007,1,"Consolidated statement of income - retained earnings and AOCI: section 2, provision for income taxes, deferred, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,1288,2007 Q1 - 2007,0,"Consolidated statement of income - retained earnings and AOCI: section 2, net income before non-controlling interests, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,1288,2007 Q1 - 2007,1,"Consolidated statement of income - retained earnings and AOCI: section 2, net income before non-controlling interests, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,1290,2007 Q1 - 2007,0,"Consolidated statement of income - retained earnings and AOCI: section 2, net income before non-controlling interests, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,1290,2007 Q1 - 2007,1,"Consolidated statement of income - retained earnings and AOCI: section 2, net income before non-controlling interests, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,1292,2007 Q1 - 2007,0,"Consolidated statement of income - retained earnings and AOCI: section 2, net income attributable to equity holders, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,1292,2007 Q1 - 2007,1,"Consolidated statement of income - retained earnings and AOCI: section 2, net income attributable to equity holders, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,2046,2007 Q1 - 2007,0,"Consolidated statement of income - retained earnings and AOCI: section 2, non interest income, trading income, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,2046,2007 Q1 - 2007,1,"Consolidated statement of income - retained earnings and AOCI: section 2, non interest income, trading income, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,2084,2007 Q1 - 2007,0,"Consolidated statement of income - retained earnings and AOCI: section 2, non interest income, trading income, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,2084,2007 Q1 - 2007,1,"Consolidated statement of income - retained earnings and AOCI: section 2, non interest income, trading income, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,5645,2014 Q4 - 2014,0,"5645 - Consolidated statement of comprehensive income, retained earnings and AOCI, Comprehensive income (loss), Attributable to equity holders and non-controlling interest, Net of taxes, Share of other comprehensive income (loss) of associates and joint ventures",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,5645,2014 Q4 - 2014,1,"Consolidated statement of income - retained earnings and AOCI: section 4 - comprehensive income, schedule 1, other comprehensive income (loss), share of other comprehensive income (loss) of associates and joint ventures, year to date",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,5645,2015 Q4 - 2015,0,"5645 - Consolidated statement of comprehensive income, retained earnings and AOCI, Comprehensive income (loss), Attributable to equity holders and non-controlling interest, Net of taxes, Share of other comprehensive income (loss) of associates and joint ventures",,false,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=False based on most-recently-observed wording; confirm before trusting.
P3,5645,2015 Q4 - 2015,1,"Consolidated statement of comprehensive income, retained earnings and AOCI, Comprehensive income (loss), Attributable to equity holders and non-controlling interest, Net of taxes, Share of other comprehensive income (loss) of associates and joint ventures",,true,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=True based on most-recently-observed wording; confirm before trusting.
P3,7946,2007 Q1 - 2007,0,"Consolidated statement of income - retained earnings and AOCI: section 1, interest income, deposits with regulated financial institutions, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,7946,2007 Q1 - 2007,1,"Consolidated statement of income - retained earnings and AOCI: section 1, interest income, deposits with regulated financial institutions, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,8252,2007 Q1 - 2007,0,"Consolidated statement of income - retained earnings and AOCI: section 1, interest income, total interest income including dividends, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,8252,2007 Q1 - 2007,1,"Consolidated statement of income - retained earnings and AOCI: section 1, interest income, total interest income including dividends, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,8407,2007 Q1 - 2007,0,"Consolidated statement of income - retained earnings and AOCI: section 1, total interest expense, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,8407,2007 Q1 - 2007,1,"Consolidated statement of income - retained earnings and AOCI: section 1, total interest expense, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,8408,2007 Q1 - 2007,0,"Consolidated statement of income - retained earnings and AOCI: section 1, net interest income, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,8408,2007 Q1 - 2007,1,"Consolidated statement of income - retained earnings and AOCI: section 1, net interest income, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,8463,2007 Q1 - 2007,0,"Consolidated statement of income - retained earnings and AOCI: section 1, charge for impairment, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,8463,2007 Q1 - 2007,1,"Consolidated statement of income - retained earnings and AOCI: section 1, charge for impairment, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,8464,2007 Q1 - 2007,0,"Consolidated statement of income - retained earnings and AOCI: section 1, net interest income after charge for impairment, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,8464,2007 Q1 - 2007,1,"Consolidated statement of income - retained earnings and AOCI: section 1, net interest income after charge for impairment, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,8534,2007 Q1 - 2007,0,"Consolidated statement of income - retained earnings and AOCI: section 2, non interest income, trading income, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,8534,2007 Q1 - 2007,1,"Consolidated statement of income - retained earnings and AOCI: section 2, non interest income, trading income, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,8535,2007 Q1 - 2007,0,"Consolidated statement of income - retained earnings and AOCI: section 2, net interest and non-interest income, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,8535,2007 Q1 - 2007,1,"Consolidated statement of income - retained earnings and AOCI: section 2, net interest and non-interest income, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,calcP300001,2008 Q4 - 2008,0,"Interest and dividends income; Securities issued or guaranteed by Government of Canada, provinces, municipal or school.",,true,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=True based on most-recently-observed wording; confirm before trusting.
